Type,Region Name,Size,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_DRAM,gDmmDramRegion1,500000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_DRAM,gDmmDramRegion2,25000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_DRAM,gDmmDramRegion3,150000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_DRAM,gDmmDramRegion4,4600,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_IRAM,gDmmIramRegion1,120000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_IRAM,gDmmIramRegion2,8500,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_IRAM,gDmmIramRegion3,40000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_IRAM,gDmmIramRegion4,0,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_SYSRAM,gDmmSysramRegion1,50000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_SYSRAM,gDmmSysramRegion2,0,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_SYSRAM,gDmmSysramRegion3,0,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_SYSRAM,gDmmSysramRegion4,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TotalComponentType_t,,,,,,,,,,,,,,,,,
A2DP,,,,,,,,,,,,,,,,,
HFP,,,,,,,,,,,,,,,,,
LE_AUDIO,,,,,,,,,,,,,,,,,
LE_CALL,,,,,,,,,,,,,,,,,
LINEIN,,,,,,,,,,,,,,,,,
USB,,,,,,,,,,,,,,,,,
ESA,,,,,,,,,,,,,,,,,
MULTI_MIC,,,,,,,,,,,,,,,,,
OPT,,,,,,,,,,,,,,,,,
WIRED_AUDIO,,,,,,,,,,,,,,,,,
WWE,,,,,,,,,,,,,,,,,
RECORD,,,,,,,,,,,,,,,,,
VP,,,,,,,,,,,,,,,,,
1,HFP,11,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,12,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,12,,HFP_VOICE_DRC_UL,,AIR_VOICE_DRC_ENABLE = y,,gDmmIramRegion1,0,DSP_PREDEFINE_HFP_VOICE_DRC_UL_IRAM,gDmmDramRegion1,672,DSP_PREDEFINE_HFP_VOICE_DRC_UL_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_VOICE_DRC_UL_SYSRAM,624(working buffer)
1,HFP,12,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,13,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,13,,HFP_MIC_SW_GAIN,,,,gDmmIramRegion1,0,DSP_PREDEFINE_HFP_MIC_SW_GAIN_IRAM,gDmmDramRegion1,64,DSP_PREDEFINE_HFP_MIC_SW_GAIN_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_MIC_SW_GAIN_SYSRAM,32(working buffer)
1,HFP,13,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,14,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,14,,HFP_RX_FW,,AIR_BT_HFP_ENABLE = y,,gDmmIramRegion1,0,DSP_PREDEFINE_HFP_RX_FW_IRAM,gDmmDramRegion1,160,DSP_PREDEFINE_HFP_RX_FW_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_RX_FW_SYSRAM,Stream feature: 16(sizeof feature table)*8(Feature number)
1,HFP,14,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,15,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,15,,HFP_TX_FW,,AIR_BT_HFP_ENABLE = y,,gDmmIramRegion1,0,DSP_PREDEFINE_HFP_TX_FW_IRAM,gDmmDramRegion1,160,DSP_PREDEFINE_HFP_TX_FW_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_TX_FW_SYSRAM,"
Stream feature: 16(sizeof feature table)*8(Feature number)"
1,HFP,15,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,16,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,16,,HFP_RX_STREAM_IN,,AIR_BT_HFP_ENABLE = y,,gDmmIramRegion1,0,DSP_PREDEFINE_HFP_RX_STREAM_IN_IRAM,gDmmDramRegion1,1024,DSP_PREDEFINE_HFP_RX_STREAM_IN_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_HFP_RX_STREAM_IN_SYSRAM,240(callback in_malloc_size) * 1(channel number)
1,HFP,16,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,HFP,17,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
